Submission id,Participant id,Status,Custom study tncs accepted at,Started at,Completed at,Reviewed at,Archived at,Time taken,Completion code,Total approvals,Age,Sex,Ethnicity simplified,Country of birth,Country of residence,Nationality,Language,Student status,Employment status
6823809bce6ed6c531320f9a,67dc687bd93f2802388b5117,AWAITING REVIEW,Not Applicable,2025-05-13T17:27:03.068000Z,2025-05-13T17:31:59.478000Z,,2025-05-13T17:32:00.153157Z,297.0,2B73928C,272,61,Female,White,United Kingdom,United Kingdom,United Kingdom,English,No,"Not in paid work (e.g. homemaker', 'retired or disabled)"
682380bd0f08c77ee6289640,56a8059fc897370006237090,AWAITING REVIEW,Not Applicable,2025-05-13T17:26:27.028000Z,2025-05-13T17:28:30.826000Z,,2025-05-13T17:28:31.453250Z,124.0,2B73928C,847,55,Female,White,United Kingdom,United Kingdom,United Kingdom,English,DATA_EXPIRED,DATA_EXPIRED
682380be6411338514face20,67a65fd458dd634e4d3fa6a9,AWAITING REVIEW,Not Applicable,2025-05-13T17:26:32.367000Z,2025-05-13T17:30:57.811000Z,,2025-05-13T17:30:58.391164Z,266.0,2B73928C,250,35,Female,Black,United States,United States,United States,English,No,DATA_EXPIRED
682380c2d841e285bc117108,66bd2f936ab3b23d4a8abbe3,AWAITING REVIEW,Not Applicable,2025-05-13T17:26:30.758000Z,2025-05-13T17:28:48.233000Z,,2025-05-13T17:28:48.901600Z,138.0,2B73928C,1870,33,Female,White,United States,United States,United States,English,No,Full-Time
682380d2a122eee9724fc208,667d637466a03a056e7b3427,AWAITING REVIEW,Not Applicable,2025-05-13T17:26:46.697000Z,2025-05-13T17:29:59.220000Z,,2025-05-13T17:29:59.908902Z,193.0,2B73928C,514,42,Female,Mixed,United States,United States,United States,English,Yes,"Not in paid work (e.g. homemaker', 'retired or disabled)"
682380dcc1d63427497d4d6c,66fcb4019a3324429051348c,AWAITING REVIEW,Not Applicable,2025-05-13T17:26:57.895000Z,2025-05-13T17:29:10.836000Z,,2025-05-13T17:29:11.437120Z,133.0,2B73928C,837,49,Female,White,United States,United States,United States,English,DATA_EXPIRED,Full-Time
682380e47aa59ca5669bcb8a,677679d8f8b195498c2f7a09,AWAITING REVIEW,Not Applicable,2025-05-13T17:27:53.047000Z,2025-05-13T17:33:44.627000Z,,2025-05-13T17:33:45.238175Z,352.0,2B73928C,395,28,Female,White,United States,United States,United States,English,Yes,Full-Time
682380ef94bbe2b0a6e7cab2,67258f550f46ea04e47afa8b,AWAITING REVIEW,Not Applicable,2025-05-13T17:27:14.361000Z,2025-05-13T17:28:35.342000Z,,2025-05-13T17:28:35.912907Z,81.0,2B73928C,118,20,Male,White,United States,United States,United States,English,DATA_EXPIRED,Other
682380f9e9bf0499853feeea,6598290cf1ec7a1ece008b99,AWAITING REVIEW,Not Applicable,2025-05-13T17:27:33.528000Z,2025-05-13T17:29:01.975000Z,,2025-05-13T17:29:02.545992Z,89.0,2B73928C,2231,30,Female,White,United States,United States,United States,English,DATA_EXPIRED,DATA_EXPIRED
6823810bbdc419f087d31814,653bce556778e1739b2060a1,AWAITING REVIEW,Not Applicable,2025-05-13T17:27:45.272000Z,2025-05-13T17:29:10.111000Z,,2025-05-13T17:29:10.782552Z,85.0,2B73928C,673,35,Male,White,United Kingdom,United Kingdom,United Kingdom,English,No,Full-Time
6823810eed2bba3e364025dc,62964d27c2b2866faa677493,AWAITING REVIEW,Not Applicable,2025-05-13T17:27:51.378000Z,2025-05-13T17:31:32.252000Z,,2025-05-13T17:31:32.841194Z,221.0,2B73928C,5442,36,Male,White,United States,United States,United States,English,No,Full-Time
6823811dc52a7b59577cdb80,5beb8419aec9ef0001e9d5fb,AWAITING REVIEW,Not Applicable,2025-05-13T17:27:57.134000Z,2025-05-13T17:30:49.875000Z,,2025-05-13T17:30:50.377967Z,173.0,2B73928C,6550,28,Female,Asian,United States,United States,United States,English,DATA_EXPIRED,DATA_EXPIRED
